OBJETID;COD_NDP;DECRETO_LU;DISTRITO;DIRECCION;PLANTA;UNIDADES_VUT;EXPEDIENTE_LU;TIPO;RESOLUCION_LU
392;11018486;Conceder;Distrito de Salamanca;CALLE ARDEMANS 42;BAJA;1;350/2023/31756;;16/11/2023
393;11062865;Conceder;Distrito de Latina;CALLE RAFAEL LOPEZ PANDO 5;BAJA;1;350/2023/31758;VIVIENDAS DE USO TURÍSTICO;21/11/2023
394;11008116;Conceder;Distrito de Arganzuela;PASEO IMPERIAL 23;BAJA;1;350/2023/31759;VIVIENDAS DE USO TURÍSTICO;21/11/2023
395;20060190;Conceder;Distrito de Hortaleza;CALLE PURCHENA 67;BAJA;2;350/2023/31760;VIVIENDAS DE USO TURÍSTICO;21/11/2023
396;11104187;Conceder;Distrito de Ciudad Lineal;CALLE GERARDO CORDON 49;BAJA;1;350/2023/31762;VIVIENDAS DE USO TURÍSTICO;31/05/2024
397;11002201;Conceder;Distrito de Centro;CALLE MIRA EL SOL 3;BAJA;1;350/2023/31813;VIVIENDAS DE USO TURÍSTICO;14/02/2024
398;11027538;Conceder;Distrito de Chamartín;CALLE INFANTA MARIA TERESA 9;BAJA;2;350/2023/31872;VIVIENDAS DE USO TURÍSTICO;24/11/2023
399;11018800;Conceder;Distrito de Salamanca;CALLE ARDEMANS 62;BAJA;1;350/2023/31899;VIVIENDAS DE USO TURÍSTICO;16/11/2023
400;11069099;Conceder;Distrito de Carabanchel;CALLE CONDE DE VISTAHERMOSA 48;BAJA;1;350/2023/31991;;16/11/2023
401;11069099;Conceder;Distrito de Carabanchel;CALLE CONDE DE VISTAHERMOSA 48;BAJA;1;350/2023/32011;;16/11/2023
402;11117053;Conceder;Distrito de Hortaleza;CALLE MOTILLA DEL PALANCAR 32;BAJA;2;350/2023/32070;VIVIENDAS DE USO TURÍSTICO;16/11/2023
403;11004235;Conceder;Distrito de Centro;CALLE PRIM 4;BAJA;1;350/2023/32304;VIVIENDAS DE USO TURÍSTICO;16/11/2023
404;11009931;Conceder;Distrito de Arganzuela;CALLE RAFAEL DE RIEGO 48;BAJA Y ENTREPLANTA;2;350/2023/32510;VIVIENDAS DE USO TURÍSTICO;16/11/2023
405;11029069;Conceder;Distrito de Tetuan;CALLE DOCTOR SANTERO 16;BAJA;2;350/2023/32514;;28/11/2023
406;11033688;Conceder;Distrito de Tetuan;CALLE PINOS ALTA 11;BAJA;1;350/2023/32531;VIVIENDAS DE USO TURÍSTICO;25/01/2024
407;11108886;Conceder;Distrito de Ciudad Lineal;CALLE GERMAN PEREZ CARRASCO 51;BAJA;1;350/2023/32532;VIVIENDAS DE USO TURÍSTICO;16/11/2023
408;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/32557;VIVIENDAS DE USO TURÍSTICO;16/11/2023
409;11052638;Conceder;Distrito de Moncloa-Aravaca;CALLE FERRAZ 41;BAJA;2;350/2023/32563;VIVIENDAS DE USO TURÍSTICO;16/11/2023
410;11078004;Conceder;Distrito de Carabanchel;CALLE MARIANISTAS 5;SEGUNDA, TERCERA, CUARTA;17;350/2023/32722;VIVIENDAS DE USO TURÍSTICO;16/11/2023
411;11021946;Conceder;Distrito de Chamartín;CALLE CANILLAS 5;BAJA;21;350/2023/32769;VIVIENDAS DE USO TURÍSTICO;21/11/2023
412;11000839;Conceder;Distrito de Centro;CALLE SAN ISIDRO LABRADOR 8;BAJA;1;350/2023/32833;VIVIENDAS DE USO TURÍSTICO;16/11/2023
413;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/33101;VIVIENDAS DE USO TURÍSTICO;16/11/2023
414;11108625;Conceder;Distrito de Ciudad Lineal;CALLE ZIGIA 13;BAJA;1;350/2023/33255;VIVIENDAS DE USO TURÍSTICO;28/11/2023
415;11010438;Conceder;Distrito de Arganzuela;PASEO SANTA MARIA DE LA CABEZA 21;BAJA;1;350/2023/33265;VIVIENDAS DE USO TURÍSTICO;28/11/2023
416;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/33306;VIVIENDAS DE USO TURÍSTICO;21/11/2023
417;11060225;Conceder;Distrito de Latina;CALLE DOÑA BERENGUELA 19;BAJA;1;350/2023/33343;VIVIENDAS DE USO TURÍSTICO;24/11/2023
418;11013569;Conceder;Distrito de Retiro;CALLE PIO BAROJA 2;BAJA;1;350/2023/33523;;20/02/2024
419;11037586;Conceder;Distrito de Tetuan;CALLE ALONSO NUÑEZ 18;BAJA;2;350/2023/33581;VIVIENDAS DE USO TURÍSTICO;26/01/2024
420;11025272;Conceder;Distrito de Chamartín;CALLE COCHABAMBA 22;BAJA;1;350/2023/33625;VIVIENDAS DE USO TURÍSTICO;21/11/2023
421;31023656;Conceder;Distrito de Arganzuela;CALLE BRONCE 10 A;BAJA;1;350/2023/33642;VIVIENDAS DE USO TURÍSTICO;10/01/2024
422;31047692;Conceder;Distrito de Ciudad Lineal;CALLE VIRGEN DEL PUIG 10;BAJA;1;350/2023/33683;VIVIENDAS DE USO TURÍSTICO;19/02/2024
423;11002180;Conceder;Distrito de Centro;CALLE PEÑA DE FRANCIA 5;BAJA;1;350/2023/33721;VIVIENDAS DE USO TURÍSTICO;11/04/2024
424;11015896;Conceder;Distrito de Salamanca;CALLE JORGE JUAN 112;BAJA;1;350/2023/33800;VIVIENDAS DE USO TURÍSTICO;21/11/2023
425;11029221;Conceder;Distrito de Tetuan;CALLE AVIADOR ZORITA 3;PRIMERA;1;350/2023/33843;VIVIENDAS DE USO TURÍSTICO;27/11/2023
426;11030007;Conceder;Distrito de Tetuan;CALLE ORENSE 39;BAJA;1;350/2023/33853;VIVIENDAS DE USO TURÍSTICO;27/11/2023
427;11026385;Conceder;Distrito de Chamartín;CALLE NUESTRA SEÑORA DE LUJAN 9;BAJA;1;350/2023/34005;VIVIENDAS DE USO TURÍSTICO;22/04/2024
428;11062827;Conceder;Distrito de Latina;CALLE CORIA 9;BAJA;1;350/2023/34041;VIVIENDAS DE USO TURÍSTICO;24/11/2023
429;11004633;Conceder;Distrito de Centro;CALLE SAN MARCOS 21;BAJA;1;350/2023/34050;VIVIENDAS DE USO TURÍSTICO;24/11/2023
430;11029131;Conceder;Distrito de Tetuan;CALLE ARTISTAS 8;BAJA;2;350/2023/34066;VIVIENDAS DE USO TURÍSTICO;28/11/2023
431;11002161;Conceder;Distrito de Centro;CALLE HUERTA DEL BAYO 4;BAJA;1;350/2023/34198;VIVIENDAS DE USO TURÍSTICO;28/11/2023
432;11010802;Conceder;Distrito de Retiro;CALLE JOSE SANCHEZ PESCADOR 12;BAJA;1;350/2023/34217;VIVIENDAS DE USO TURÍSTICO;27/11/2023
433;11008781;Conceder;Distrito de Arganzuela;CALLE FERNANDO POO 16;BAJA;1;350/2023/34239;VIVIENDAS DE USO TURÍSTICO;27/11/2023
434;11012911;Conceder;Distrito de Retiro;CALLE ALBERTO BOSCH 14;BAJA;1;350/2023/34370;VIVIENDAS DE USO TURÍSTICO;27/11/2023
435;11033595;Conceder;Distrito de Tetuan;CALLE PINOS ALTA 93;BAJA;1;350/2023/34422;VIVIENDAS DE USO TURÍSTICO;28/11/2023
436;11002847;Conceder;Distrito de Centro;CALLE FE 6;BAJA;1;350/2023/34520;VIVIENDAS DE USO TURÍSTICO;27/11/2023
